Brand,Knife,Steel ,Fe (Iron),C (Carbon),Cr (Chromium),Co (Cobalt),Cu (Copper),Mn (Manganese),Mo (Molybdenum),N (Nickel),Nb (Niobium),N (Nitrogen),Phosphorous (P),Si (Silicon),Sulfur (S),Ti (titanium),W (Tungsten),V (Vanadium),Cuts,Sharperner,Edge angle,Edge finish,Video date,Link,Pete's comments,Count Steel+sharpener,Sharpener,Count Steel+angle,Angle
Viper,Keeper ,D2,84.80,1.50,12.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,95,Tormek,,,9/9/2017,https://www.youtube.com/watch?v=IRsscnuA5Yw,,1,Other,,
Kizlyar,Prime D2 BT,D2,84.80,1.50,12.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,75,Factory,20,,11/7/2017,https://www.youtube.com/watch?v=PwkGN_Pdf7I,,1,Factory,4,20
Kizlyar,Prime DT BT,D2,84.80,1.50,12.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,105,Worksharp,20,,11/7/2017,https://www.youtube.com/watch?v=PwkGN_Pdf7I,,4,Worksharp,5,20
Kizlyar,Biker Z,D2,84.80,1.50,12.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,53,Lansky,20,,1/11/2018,https://www.youtube.com/watch?v=5BMzWigsdOM,,1,Lansky,6,20
Kizlyar,Biker Z,D2,84.80,1.50,12.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,25,Worksharp,20,,1/11/2018,https://www.youtube.com/watch?v=5BMzWigsdOM,,5,Worksharp,7,20
Kizlyar,Biker Z,D2,84.80,1.50,12.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,80,Lansky,20,Toothy,1/11/2018,https://www.youtube.com/watch?v=5BMzWigsdOM,,2,Lansky,8,20
Boker,Vox Rold,D2,84.80,1.50,12.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,208,Lansky,20,Toothy,1/12/2018,https://www.youtube.com/watch?v=NLEZHG3Kvos,,3,Lansky,9,20
Kizlyar,Biker Z,D2,84.80,1.50,12.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,85,Lansky,20,Toothy,1/12/2018,https://www.youtube.com/watch?v=NLEZHG3Kvos,,4,Lansky,10,20
Kizlyar,Zedd,D2,84.80,1.50,12.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,67,Factory,,,2/12/2018,https://www.youtube.com/watch?v=A05fN8cPAks,,2,Factory,,
Ontario,RAT 1,D2,84.80,1.50,12.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,220,KME,15,1500 grit,11/10/2018,https://www.youtube.com/watch?v=fEzK0OUxgQM,Pete sharpened,1,KME,1,15
